127.0.0.1 - - [03/Dec/2024:00:28:42 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:43 +0530] "GET /Project/login.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:43 +0530] "GET /Project/assets/form-side-vector.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:43 +0530] "GET /Project/assets/icons/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:43 +0530] "GET /Project/css/register.css HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:44 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:49 +0530] "GET /Project/index.jsp HTTP/1.1" 200 3160
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:50 +0530] "GET /Project/assets/icons/user-round.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:50 +0530] "GET /Project/assets/hero.png HTTP/1.1" 200 255772
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:50 +0530] "GET /Project/assets/icons/hospital.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:50 +0530] "GET /Project/assets/icons/ambulance.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:50 +0530] "GET /Project/assets/doctor2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:50 +0530] "GET /Project/assets/doctor1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:50 +0530] "GET /Project/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:50 +0530] "GET /Project/css/index.css HTTP/1.1" 200 6347
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:50 +0530] "GET /Project/assets/doctor3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:54 +0530] "GET /Project/register.jsp HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [03/Dec/2024:00:28:59 +0530] "GET /Project/login.jsp HTTP/1.1" 200 825
